,Vial no.,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,
,390,0.318997,0.372726,0.452974,0.558432,0.670998,0.817465,1.03116,1.22185,1.28534,1.48982,,,,,,,,,,,,,,,,,,,,,,
,400,0.311667,0.362181,0.438419,0.532669,0.633936,0.766257,0.951804,1.11591,1.17143,1.35271,,,,,,,,,,,,,,,,,,,,,,
,410,0.296524,0.339513,0.41081,0.499572,0.591896,0.717446,0.883263,1.01914,1.06005,1.21613,,,,,,,,,,,,,,,,,,,,,,
,420,0.276274,0.318366,0.383407,0.464249,0.551925,0.666546,0.818285,0.936873,0.963633,1.09669,,,,,,,,,,,,,,,,,,,,,,
,430,0.26672,0.315049,0.379006,0.449859,0.52902,0.635928,0.776751,0.882402,0.909634,1.0251,,,,,,,,,,,,,,,,,,,,,,
,440,0.272732,0.327042,0.391426,0.457366,0.527548,0.626396,0.749178,0.846745,0.872175,0.974509,,,,,,,,,,,,,,,,,,,,,,
,450,0.255938,0.309562,0.379547,0.447358,0.512666,0.601807,0.706384,0.78601,0.806187,0.897329,,,,,,,,,,,,,,,,,,,,,,
,460,0.255525,0.301255,0.380331,0.455999,0.523502,0.608435,0.701616,0.76236,0.771022,0.842986,,,,,,,,,,,,,,,,,,,,,,
,470,0.258451,0.292479,0.373709,0.463044,0.54306,0.636953,0.727728,0.778446,0.772507,0.829815,,,,,,,,,,,,,,,,,,,,,,
,480,0.258731,0.28401,0.346524,0.441091,0.548407,0.665038,0.772646,0.827343,0.812123,0.861484,,,,,,,,,,,,,,,,,,,,,,
,490,0.25419,0.273986,0.313094,0.381091,0.491551,0.638936,0.798617,0.873325,0.860029,0.913204,,,,,,,,,,,,,,,,,,,,,,
,500,0.252972,0.27198,0.293326,0.322212,0.390941,0.522907,0.74654,0.887358,0.905437,0.979322,,,,,,,,,,,,,,,,,,,,,,
,510,0.252332,0.269529,0.285641,0.291249,0.315651,0.388559,0.561693,0.74537,0.83837,0.971896,,,,,,,,,,,,,,,,,,,,,,
,520,0.25207,0.268991,0.28135,0.279523,0.284153,0.319704,0.392552,0.500006,0.602944,0.762022,,,,,,,,,,,,,,,,,,,,,,
,530,0.253294,0.269323,0.283939,0.276495,0.276936,0.299341,0.322086,0.352671,0.394022,0.479306,,,,,,,,,,,,,,,,,,,,,,
